row_type,rank,species,mar,apr,may,jun,jul,aug,sep,oct,nov,total,newly_ringed,retraps,maximum_count,maximum_date,maximum_url,presence_percent,presence_days,first_date,first_url,last_date,last_url
species,109,Bay-breasted Warbler,0,0,0,0,0,0,0,1,0,1,1,0,1,6 Oct,https://www.trektellen.org/count/view/3460/20251006,1,1,6 Oct,https://www.trektellen.org/count/view/3460/20251006,6 Oct,https://www.trektellen.org/count/view/3460/20251006
species,110,Blackburnian Warbler,0,0,1,0,0,0,1,0,0,2,2,0,1,29 May,https://www.trektellen.org/count/view/3460/20250529,1,2,29 May,https://www.trektellen.org/count/view/3460/20250529,3 Sep,https://www.trektellen.org/count/view/3460/20250903
species,111,American Yellow Warbler,0,0,3,0,0,10,0,0,0,13,13,0,2,5 Aug,https://www.trektellen.org/count/view/3460/20250805,6,11,6 May,https://www.trektellen.org/count/view/3460/20250506,22 Aug,https://www.trektellen.org/count/view/3460/20250822
species,112,Chestnut-sided Warbler,0,0,1,0,0,12,12,0,0,25,25,0,3,29 Aug,https://www.trektellen.org/count/view/3460/20250829,11,20,1 May,https://www.trektellen.org/count/view/3460/20250501,28 Sep,https://www.trektellen.org/count/view/3460/20250928
species,113,Blackpoll Warbler,0,0,3,0,0,0,1,1,0,5,5,0,2,15 May,https://www.trektellen.org/count/view/3460/20250515,2,4,12 May,https://www.trektellen.org/count/view/3460/20250512,22 Oct,https://www.trektellen.org/count/view/3460/20251022
species,114,Black-throated Blue Warbler,0,0,7,0,0,2,38,29,0,76,61,15,7,18 Sep,https://www.trektellen.org/count/view/3460/20250918,22,40,1 May,https://www.trektellen.org/count/view/3460/20250501,26 Oct,https://www.trektellen.org/count/view/3460/20251026
species,115,Palm Warbler (Yellow),0,27,0,0,0,0,8,56,1,92,91,1,15,18 Oct,https://www.trektellen.org/count/view/3460/20251018,19,34,4 Apr,https://www.trektellen.org/count/view/3460/20250404,1 Nov,https://www.trektellen.org/count/view/3460/20251101
species,116,Palm Warbler (Western),0,1,0,0,0,0,1,3,0,5,5,0,1,26 Apr,https://www.trektellen.org/count/view/3460/20250426,3,5,26 Apr,https://www.trektellen.org/count/view/3460/20250426,27 Oct,https://www.trektellen.org/count/view/3460/20251027
species,117,Pine Warbler,0,2,0,0,0,0,0,0,0,2,2,0,1,9 Apr,https://www.trektellen.org/count/view/3460/20250409,1,2,9 Apr,https://www.trektellen.org/count/view/3460/20250409,10 Apr,https://www.trektellen.org/count/view/3460/20250410
species,118,Yellow-rumped Warbler (Myrtle),4,26,8,0,0,0,0,71,39,148,145,3,11,28 Oct,https://www.trektellen.org/count/view/3460/20251028,27,49,10 Mar,https://www.trektellen.org/count/view/3460/20250310,24 Nov,https://www.trektellen.org/count/view/3460/20251124
species,119,Prairie Warbler,0,0,0,0,0,3,2,0,0,5,4,1,1,20 Aug,https://www.trektellen.org/count/view/3460/20250820,3,5,20 Aug,https://www.trektellen.org/count/view/3460/20250820,20 Sep,https://www.trektellen.org/count/view/3460/20250920
species,120,Black-throated Green Warbler,0,0,0,0,0,1,4,1,0,6,6,0,2,27 Sep,https://www.trektellen.org/count/view/3460/20250927,3,5,31 Aug,https://www.trektellen.org/count/view/3460/20250831,16 Oct,https://www.trektellen.org/count/view/3460/20251016
species,121,Canada Warbler,0,0,2,0,0,14,8,0,0,24,22,2,6,30 Aug,https://www.trektellen.org/count/view/3460/20250830,9,16,9 May,https://www.trektellen.org/count/view/3460/20250509,19 Sep,https://www.trektellen.org/count/view/3460/20250919
species,122,Wilson's Warbler,0,0,1,0,0,1,2,0,0,4,4,0,1,11 May,https://www.trektellen.org/count/view/3460/20250511,2,4,11 May,https://www.trektellen.org/count/view/3460/20250511,29 Sep,https://www.trektellen.org/count/view/3460/20250929
species,123,Scarlet Tanager,0,0,2,0,0,1,1,0,0,4,3,1,1,5 May,https://www.trektellen.org/count/view/3460/20250505,2,4,5 May,https://www.trektellen.org/count/view/3460/20250505,21 Sep,https://www.trektellen.org/count/view/3460/20250921
species,124,Rose-breasted Grosbeak,0,0,1,0,0,0,1,0,0,2,2,0,1,9 May,https://www.trektellen.org/count/view/3460/20250509,1,2,9 May,https://www.trektellen.org/count/view/3460/20250509,27 Sep,https://www.trektellen.org/count/view/3460/20250927
species,125,Northern Cardinal,147,113,69,0,0,106,72,71,73,651,247,404,25,4 Mar,https://www.trektellen.org/count/view/3460/20250304,94,171,3 Mar,https://www.trektellen.org/count/view/3460/20250303,26 Nov,https://www.trektellen.org/count/view/3460/20251126
species,126,Blue Grosbeak,0,1,13,0,0,9,17,13,0,53,36,17,3,29 May,https://www.trektellen.org/count/view/3460/20250529,22,40,28 Apr,https://www.trektellen.org/count/view/3460/20250428,24 Oct,https://www.trektellen.org/count/view/3460/20251024
species,127,Indigo Bunting,0,0,102,0,0,100,276,172,0,650,390,260,31,30 Sep,https://www.trektellen.org/count/view/3460/20250930,54,98,1 May,https://www.trektellen.org/count/view/3460/20250501,27 Oct,https://www.trektellen.org/count/view/3460/20251027
totals,,Totals,1806,2224,2061,0,0,1596,2620,5279,4008,19594,13681,5913,,,,100,182,,,,
observation_hours,,Observation hours,126:55,126:00,116:30,0:00,0:00,142:10,138:55,129:05,119:50,899:25,,,,,,,,,,,
